Number,Latit,Long,Time,Marsh
2767, 55.78944, 49.171152,13:04:52, 18
2470, 55.776088, 49.235635,13:04:41, 18
2429, 55.83586, 49.13061,13:04:55, 18
2164, 55.860053, 49.098573,13:05:51, 18
2464, 55.770545, 49.176055,13:05:49, 18
2436, 55.821748, 49.169593,13:05:51, 18
2454, 55.8276, 49.147388,13:05:49, 18
2434, 55.836052, 49.127152,13:05:50, 18
2715, 55.754808, 49.231163,13:05:56, 18
2748, 55.806028, 49.1838,13:05:40, 18
2453, 55.79081, 49.171455,13:05:56, 18
2156, 55.836, 49.080527,13:05:37, 18
2190, 55.834673, 49.08972,13:05:53, 18
2761, 55.806235, 49.184148,13:05:51, 18
2736, 55.753927, 49.20254,13:05:54, 18
2116, 55.757252, 49.231503,13:05:56, 18
2747, 55.752965, 49.203452,13:05:49, 18
2465, 55.787793, 49.23038,13:05:54, 18
2425, 55.834055, 49.080708,13:05:51, 18
2149, 55.83574, 49.099593,13:05:45, 18
2767, 55.78944, 49.171152,13:05:53, 18
2466, 55.859347, 49.102222,13:05:46, 18
2706, 55.871737, 49.080853,13:05:57, 18
2429, 55.835877, 49.1336,13:05:56, 18
2470, 55.77609, 49.231592,13:05:42, 18
2464, 55.767807, 49.178482,13:06:48, 18
2164, 55.860645, 49.094972,13:06:37, 18
2454, 55.8276, 49.147388,13:06:48, 18
2436, 55.824255, 49.160752,13:06:52, 18
2434, 55.836068, 49.122682,13:06:50, 18
2715, 55.753227, 49.231108,13:06:55, 18
2748, 55.803998, 49.184917,13:06:40, 18
2453, 55.792055, 49.171567,13:06:36, 18
2190, 55.833395, 49.090453,13:06:40, 18
2156, 55.830613, 49.080475,13:06:56, 18
2761, 55.809422, 49.182582,13:06:42, 18
2736, 55.756092, 49.198728,13:06:53, 18
2116, 55.760992, 49.231583,13:06:56, 18
2423, 55.792547, 49.229558,13:06:42, 18
2747, 55.747845, 49.212165,13:06:48, 18
2465, 55.788852, 49.226482,13:06:55, 18
2149, 55.835805, 49.100412,13:06:45, 18
2767, 55.788233, 49.171062,13:06:53, 18
2425, 55.836818, 49.081025,13:06:52, 18
2466, 55.857293, 49.10088,13:06:45, 18
2706, 55.871465, 49.080707,13:06:56, 18
2429, 55.835893, 49.139452,13:06:56, 18
2470, 55.772723, 49.231465,13:06:39, 18
2434, 55.836078, 49.120168,13:07:50, 18
2715, 55.751182, 49.22808,13:07:55, 18
2464, 55.766852, 49.179672,13:07:49, 18
2454, 55.826557, 49.151813,13:07:49, 18
2748, 55.800765, 49.181535,13:07:47, 18
2164, 55.861613, 49.089418,13:07:36, 18
